TIME,X,Y,Z
14:25:11.35,-0.07788086,-0.04296875,1.22607421
14:25:11.49,-0.08105469,-0.03735351,1.22363281
14:25:11.64,-0.08203125,-0.04052734,1.22143554
14:25:11.78,-0.08984375,-0.03979492,1.22802734
14:25:11.91,-0.08789063,-0.04150391,1.22265625
14:25:12.05,-0.0793457,-0.03784179,1.22192382
14:25:12.20,-0.08496094,-0.0402832,1.21850585
14:25:12.34,-0.08569336,-0.03491211,1.22485351
14:25:12.49,-0.08447266,-0.03710937,1.21752929
14:25:12.63,-0.08764649,-0.0390625,1.22216796
14:25:12.77,-0.0834961,-0.03930664,1.23242187
14:25:12.90,-0.08129883,-0.03710937,1.22338867
14:25:13.05,-0.08422852,-0.03637695,1.22558593
14:25:13.19,-0.0859375,-0.03613281,1.21801757
14:25:13.33,-0.08618165,-0.03442383,1.22534179
14:25:13.48,-0.08007813,-0.03930664,1.22094726
14:25:13.62,-0.0834961,-0.03857422,1.22631835
14:25:13.76,-0.0793457,-0.03710937,1.22705078
14:25:13.89,-0.09082032,-0.03662109,1.22851562
14:25:14.04,-0.08398438,-0.03710937,1.21630859
14:25:14.18,-0.08496094,-0.04003906,1.22949218
14:25:14.33,-0.08056641,-0.04174805,1.21679687
14:25:14.47,-0.08276368,-0.03564453,1.23413085
14:25:14.61,-0.0793457,-0.03540039,1.22998046
14:25:14.76,-0.07788086,-0.03662109,1.21313476
14:25:14.90,-0.08056641,-0.03662109,1.22680664
14:25:15.03,-0.07788086,-0.04150391,1.22192382
14:25:15.17,0.07910156,-0.1442871,1.15283203
14:25:15.32,-0.07983398,-0.03393554,1.22534179
14:25:15.46,-0.09960938,-0.03149414,1.23071289
14:25:15.60,-0.0859375,-0.0402832,1.22509765
14:25:15.75,-0.08251954,-0.03271484,1.22607421
14:25:15.88,-0.06176758,-0.07128906,1.20947265
14:25:16.02,-0.08203125,-0.03759765,1.22070312
14:25:16.16,-0.0834961,-0.0336914,1.2290039
14:25:16.31,-0.08105469,-0.03833008,1.22485351
14:25:16.45,-0.08544922,-0.03295898,1.21948242
14:25:16.60,-0.08544922,-0.04345703,1.22070312
14:25:16.74,-0.0847168,-0.03686523,1.22192382
14:25:16.87,-0.08007813,-0.03808593,1.22753906
14:25:17.01,-0.08374024,-0.03759765,1.22729492
14:25:17.16,-0.08276368,-0.03735351,1.22314453
14:25:17.30,-0.08374024,-0.03979492,1.22509765
14:25:17.44,-0.0900879,-0.03613281,1.21972656
14:25:17.59,-0.08178711,-0.03271484,1.21875
14:25:17.73,-0.08618165,-0.03222656,1.23120117
14:25:17.88,-0.08032227,-0.03710937,1.23339843
14:25:18.00,-0.08520508,-0.03759765,1.22021484
14:25:18.15,-0.08276368,-0.03515625,1.22387695
14:25:18.29,-0.08447266,-0.03784179,1.22314453
14:25:18.44,-0.07714844,-0.03710937,1.2290039
14:25:18.58,-0.08618165,-0.03466797,1.22314453
14:25:18.72,-0.0822754,-0.03686523,1.22143554
14:25:18.87,-0.08203125,-0.03100586,1.22485351
14:25:19.00,-0.08032227,-0.03564453,1.2211914
14:25:19.14,-0.08544922,-0.03784179,1.2302246
14:25:19.28,-0.08129883,-0.03784179,1.2290039
14:25:19.43,-0.08374024,-0.03588867,1.21850585
14:25:19.57,-0.08886719,-0.03784179,1.21289062
14:25:19.72,-0.08374024,-0.0390625,1.22094726
14:25:19.86,-0.08178711,-0.03955078,1.22851562
14:25:19.99,-0.08642579,-0.0324707,1.23413085
14:25:20.13,-0.08447266,-0.03784179,1.22436523
14:25:20.27,-0.08081055,-0.03466797,1.2224121
14:25:20.42,-0.08544922,-0.0324707,1.22558593
14:25:20.56,-0.08496094,-0.03857422,1.22363281
14:25:20.71,-0.08691407,-0.04223633,1.22924804
14:25:20.85,-0.08276368,-0.03710937,1.22412109
14:25:20.98,-0.08398438,-0.03125,1.22143554
14:25:21.12,-0.08325196,-0.02661133,1.22924804
14:25:21.27,-0.08374024,-0.03613281,1.22973632
14:25:21.41,-0.0793457,-0.03930664,1.22607421
14:25:21.56,-0.0769043,-0.03735351,1.21655273
14:25:21.70,-0.07885742,-0.04003906,1.22412109
14:25:21.84,-0.08276368,-0.03979492,1.22973632
14:25:21.97,-0.08203125,-0.03808593,1.23168945
